RandomID,JS,BO,TOI,CF,CS,YearsinIT,Gender,Age,Marital
1,96,65.08378638,21,62.24066041,29.43417839,2,Male,25,Unmarried
2,126,57.27396501,21,55.38889135,30.9588091,6,Male,28,Unmarried
3,92,66.64575066,21,62.24066041,32.48343982,1,Male,22,Married
4,87,68.20771493,21,62.24066041,34.00807053,9,Male,55,Married
5,74,69.76967921,21,50.25006456,34.00807053,2,Male,25,Unmarried
6,96,66.64575066,13,53.67594909,34.00807053,1,Male,26,Unmarried
7,91,60.39789356,20,58.81477588,35.53270125,11,Male,35,Unmarried
8,95,63.52182211,18,67.3794872,35.53270125,3,Male,36,Unmarried
9,141,51.02610792,21,39.97241098,35.53270125,30,Male,54,Unmarried
10,90,63.52182211,21,55.38889135,37.05733196,4,Male,32,Unmarried
11,99,60.39789356,21,46.82418004,37.05733196,25,Male,55,Married
12,122,57.27396501,21,45.11123777,37.05733196,3,Male,27,Married
13,115,58.83592929,16,41.68535325,37.05733196,10,Female,29,Married
14,122,51.02610792,19,39.97241098,37.05733196,1,Female,24,Unmarried
15,127,54.15003647,21,36.54652646,37.05733196,2,Male,24,Married
16,90,68.20771493,21,70.80537172,38.58196268,1,Male,28,Married
17,121,57.27396501,15,65.66654493,38.58196268,1,Male,23,Unmarried
18,72,71.33164348,21,70.80537172,38.58196268,1,Female,30,Unmarried
19,96,60.39789356,13,41.68535325,38.58196268,4,Male,29,Married
20,111,54.15003647,12,50.25006456,40.10659339,8,Male,38,Married
21,97,63.52182211,18,51.96300683,40.10659339,1,Female,23,Unmarried
22,132,47.90217937,15,34.83358419,40.10659339,9,Male,35,Unmarried
23,94,66.64575066,21,51.96300683,40.10659339,3,Female,35,Married
24,115,58.83592929,20,53.67594909,41.63122411,17,Female,40,Married
25,97,65.08378638,21,60.52771814,41.63122411,1,Male,22,Unmarried
26,119,52.58807219,21,45.11123777,41.63122411,6,Male,31,Unmarried
27,93,51.02610792,21,41.68535325,41.63122411,6,Female,28,Unmarried
28,90,66.64575066,21,58.81477588,41.63122411,6,Female,32,Unmarried
29,92,61.95985784,16,58.81477588,41.63122411,2,Male,27,Unmarried
30,123,57.27396501,19,53.67594909,41.63122411,10,Male,34,Unmarried
31,76,69.76967921,21,72.51831399,41.63122411,2,Male,25,Unmarried
32,138,52.58807219,11,46.82418004,43.15585482,2,Male,30,Married
33,123,49.46414364,12,45.11123777,43.15585482,6,Male,38,Married
34,109,58.83592929,19,48.5371223,43.15585482,3,Male,25,Unmarried
35,122,55.71200074,19,46.82418004,43.15585482,4,Male,25,Married
36,109,52.58807219,16,55.38889135,43.15585482,3,Male,29,Unmarried
37,99,63.52182211,16,55.38889135,43.15585482,12,Male,36,Married
38,149,47.90217937,15,50.25006456,43.15585482,5,Male,24,Married
39,152,49.46414364,10,57.10183362,43.15585482,1,Male,22,Unmarried
40,145,52.58807219,6,43.39829551,43.15585482,11,Female,36,Unmarried
41,154,51.02610792,12,36.54652646,43.15585482,14,Male,34,Unmarried
42,120,54.15003647,13,51.96300683,44.68048554,15,Male,52,Married
43,114,55.71200074,14,46.82418004,44.68048554,17,Male,40,Married
44,109,54.15003647,21,48.5371223,44.68048554,1,Male,23,Unmarried
45,102,58.83592929,16,65.66654493,44.68048554,10,Male,32,Married
46,127,43.21628655,15,46.82418004,44.68048554,3,Female,22,Unmarried
47,95,60.39789356,21,65.66654493,44.68048554,5,Male,27,Unmarried
48,123,47.90217937,21,53.67594909,44.68048554,6,Male,28,Married
49,99,61.95985784,8,57.10183362,44.68048554,1,Female,29,Married
50,94,65.08378638,20,72.51831399,44.68048554,1,Male,24,Married
51,127,57.27396501,18,39.97241098,44.68048554,20,Male,40,Married
52,113,49.46414364,16,46.82418004,46.20511625,2,Male,47,Married
53,92,61.95985784,14,60.52771814,46.20511625,7,Male,48,Unmarried
54,106,47.90217937,15,39.97241098,46.20511625,9,Female,30,Married
55,121,52.58807219,20,41.68535325,46.20511625,5,Female,30,Unmarried
56,156,47.90217937,14,41.68535325,46.20511625,1,Male,40,Married
57,136,41.65432227,12,38.25946872,46.20511625,1,Male,21,Married
58,141,44.77825082,14,53.67594909,46.20511625,2,Female,29,Married
59,100,51.02610792,21,60.52771814,46.20511625,25,Female,47,Unmarried
60,92,65.08378638,21,51.96300683,46.20511625,11,Female,35,Married
61,123,52.58807219,21,65.66654493,46.20511625,10,Female,33,Married
62,129,49.46414364,16,41.68535325,47.72974696,8,Female,34,Unmarried
63,101,46.3402151,8,48.5371223,47.72974696,32,Male,60,Unmarried
64,103,54.15003647,21,53.67594909,47.72974696,8,Male,33,Unmarried
65,97,51.02610792,17,45.11123777,47.72974696,4,Female,27,Unmarried
66,100,46.3402151,13,53.67594909,47.72974696,1,Female,23,Unmarried
67,109,55.71200074,21,58.81477588,47.72974696,3,Male,56,Unmarried
68,119,55.71200074,19,46.82418004,47.72974696,1,Female,23,Married
69,121,46.3402151,18,50.25006456,47.72974696,7,Male,32,Married
70,137,46.3402151,6,43.39829551,47.72974696,9,Female,32,Unmarried
71,149,49.46414364,6,41.68535325,47.72974696,1,Male,24,Married
72,158,40.092358,9,41.68535325,47.72974696,1,Female,28,Married
73,158,44.77825082,5,51.96300683,47.72974696,14,Male,37,Unmarried
74,180,47.90217937,4,45.11123777,47.72974696,2,Male,26,Married
75,129,58.83592929,6,53.67594909,47.72974696,12,Male,34,Married
76,175,41.65432227,12,39.97241098,47.72974696,23,Male,57,Married
77,127,52.58807219,16,41.68535325,47.72974696,11,Male,37,Married
78,102,60.39789356,18,72.51831399,47.72974696,2,Female,34,Unmarried
79,124,47.90217937,14,50.25006456,49.25437768,4,Male,27,Unmarried
80,129,47.90217937,17,53.67594909,49.25437768,19,Male,44,Married
81,104,57.27396501,15,60.52771814,49.25437768,6,Male,30,Unmarried
82,146,54.15003647,9,60.52771814,49.25437768,3,Male,24,Unmarried
83,112,58.83592929,20,55.38889135,49.25437768,2,Male,25,Unmarried
84,134,55.71200074,10,46.82418004,49.25437768,1,Male,46,Married
85,131,43.21628655,18,38.25946872,49.25437768,17,Male,38,Unmarried
86,124,49.46414364,6,50.25006456,49.25437768,22,Male,51,Unmarried
87,114,58.83592929,10,50.25006456,49.25437768,1,Female,24,Unmarried
88,109,55.71200074,21,65.66654493,49.25437768,1,Male,25,Unmarried
89,101,60.39789356,20,65.66654493,49.25437768,4,Male,29,Unmarried
90,171,51.02610792,5,45.11123777,49.25437768,10,Male,61,Unmarried
91,128,49.46414364,13,46.82418004,50.77900839,1,Female,22,Unmarried
92,126,49.46414364,11,45.11123777,50.77900839,26,Male,54,Unmarried
93,138,46.3402151,10,55.38889135,50.77900839,6,Female,31,Married
94,154,43.21628655,6,46.82418004,50.77900839,9,Female,39,Married
95,121,51.02610792,21,46.82418004,50.77900839,12,Male,35,Married
96,166,40.092358,12,39.97241098,50.77900839,1,Female,24,Married
97,129,52.58807219,20,60.52771814,50.77900839,4,Female,27,Unmarried
98,101,57.27396501,11,58.81477588,50.77900839,5,Male,43,Married
99,122,46.3402151,3,39.97241098,50.77900839,3,Male,24,Married
100,143,40.092358,17,38.25946872,50.77900839,10,Male,32,Married
101,149,43.21628655,21,45.11123777,50.77900839,2,Male,28,Married
102,155,57.27396501,6,62.24066041,50.77900839,5,Male,48,Married
103,135,51.02610792,5,46.82418004,50.77900839,7,Female,36,Married
104,122,58.83592929,14,72.51831399,50.77900839,7,Female,33,Married
105,162,41.65432227,17,39.97241098,50.77900839,2,Female,24,Married
106,156,40.092358,16,53.67594909,50.77900839,1,Male,25,Unmarried
107,94,63.52182211,21,50.25006456,50.77900839,17,Female,33,Unmarried
108,152,43.21628655,13,46.82418004,52.30363911,1,Male,22,Unmarried
109,159,41.65432227,8,46.82418004,52.30363911,4,Female,30,Married
110,114,54.15003647,12,51.96300683,52.30363911,4,Female,28,Unmarried
111,118,46.3402151,6,43.39829551,52.30363911,4,Male,23,Unmarried
112,146,49.46414364,6,51.96300683,52.30363911,10,Male,47,Married
113,154,40.092358,7,39.97241098,52.30363911,1,Male,22,Unmarried
114,142,43.21628655,16,45.11123777,52.30363911,3,Female,51,Married
115,134,52.58807219,18,55.38889135,52.30363911,30,Male,51,Unmarried
116,140,41.65432227,6,36.54652646,52.30363911,6,Male,30,Married
117,112,54.15003647,21,38.25946872,52.30363911,7,Female,41,Married
118,170,36.96842945,21,36.54652646,52.30363911,6,Female,30,Unmarried
119,136,51.02610792,12,53.67594909,53.82826982,12,Male,38,Unmarried
120,117,52.58807219,13,51.96300683,53.82826982,8,Male,34,Unmarried
121,146,41.65432227,6,46.82418004,53.82826982,20,Female,50,Unmarried
122,148,51.02610792,9,46.82418004,53.82826982,1,Male,23,Married
123,153,40.092358,13,48.5371223,53.82826982,23,Male,45,Unmarried
124,161,38.53039373,14,39.97241098,53.82826982,1,Male,37,Unmarried
125,102,47.90217937,17,48.5371223,53.82826982,25,Male,46,Unmarried
126,144,52.58807219,18,57.10183362,53.82826982,2,Male,25,Married
127,139,44.77825082,3,39.97241098,53.82826982,1,Male,32,Married
128,141,49.46414364,3,45.11123777,53.82826982,3,Male,34,Married
129,144,49.46414364,21,48.5371223,53.82826982,1,Male,35,Married
130,135,44.77825082,21,46.82418004,53.82826982,13,Male,39,Married
131,145,57.27396501,15,45.11123777,53.82826982,2,Female,28,Unmarried
132,148,41.65432227,12,48.5371223,55.35290054,4,Female,25,Married
133,145,43.21628655,6,46.82418004,55.35290054,1,Male,24,Unmarried
134,115,44.77825082,16,41.68535325,55.35290054,13,Female,32,Married
135,170,40.092358,3,41.68535325,55.35290054,1,Male,57,Unmarried
136,126,46.3402151,19,46.82418004,55.35290054,8,Male,42,Unmarried
137,125,51.02610792,20,48.5371223,55.35290054,4,Male,42,Married
138,201,33.8445009,3,36.54652646,55.35290054,6,Male,34,Unmarried
139,154,41.65432227,17,57.10183362,55.35290054,8,Male,31,Unmarried
140,157,43.21628655,10,43.39829551,56.87753125,8,Male,38,Married
141,161,40.092358,6,46.82418004,56.87753125,8,Male,30,Married
142,151,38.53039373,6,41.68535325,56.87753125,7,Male,48,Unmarried
143,138,43.21628655,17,45.11123777,56.87753125,14,Male,46,Married
144,112,44.77825082,3,43.39829551,56.87753125,1,Male,40,Married
145,121,46.3402151,8,41.68535325,56.87753125,17,Male,38,Unmarried
146,142,40.092358,17,39.97241098,56.87753125,7,Male,57,Married
147,167,40.092358,3,53.67594909,56.87753125,1,Male,43,Married
148,165,38.53039373,4,38.25946872,56.87753125,24,Male,48,Married
149,143,43.21628655,17,38.25946872,56.87753125,17,Male,42,Married
150,127,41.65432227,21,48.5371223,56.87753125,14,Male,45,Unmarried
151,149,40.092358,5,48.5371223,58.40216197,6,Male,34,Unmarried
152,132,47.90217937,6,41.68535325,58.40216197,20,Male,64,Married
153,119,46.3402151,18,38.25946872,58.40216197,21,Female,46,Unmarried
154,126,43.21628655,18,36.54652646,58.40216197,13,Male,33,Married
155,116,44.77825082,21,45.11123777,58.40216197,3,Male,25,Unmarried
156,130,46.3402151,21,39.97241098,58.40216197,2,Male,24,Married
157,121,54.15003647,17,46.82418004,58.40216197,12,Female,34,Married
158,146,41.65432227,12,48.5371223,59.92679268,1,Male,22,Unmarried
159,126,46.3402151,12,41.68535325,59.92679268,1,Male,31,Unmarried
160,124,44.77825082,3,50.25006456,59.92679268,43,Male,67,Married
161,186,36.96842945,3,41.68535325,59.92679268,2,Male,26,Married
162,142,46.3402151,17,45.11123777,59.92679268,5,Male,58,Unmarried
163,202,33.8445009,3,48.5371223,59.92679268,20,Male,61,Married
164,158,41.65432227,21,46.82418004,59.92679268,1,Male,35,Married
165,153,43.21628655,11,45.11123777,61.4514234,2,Male,40,Married
166,188,36.96842945,3,41.68535325,61.4514234,1,Male,41,Married
167,201,33.8445009,3,46.82418004,61.4514234,4,Male,33,Married
168,164,40.092358,6,41.68535325,61.4514234,26,Female,51,Married
169,163,41.65432227,15,51.96300683,61.4514234,24,Female,58,Married
170,203,32.28253663,3,38.25946872,61.4514234,35,Male,55,Unmarried
171,141,51.02610792,21,55.38889135,61.4514234,6,Male,32,Married
172,196,35.40646518,3,41.68535325,62.97605411,5,Male,34,Married
173,169,38.53039373,3,50.25006456,62.97605411,20,Male,45,Married
174,205,33.8445009,3,43.39829551,62.97605411,23,Female,64,Married
175,189,36.96842945,3,48.5371223,62.97605411,20,Male,52,Married
176,148,43.21628655,3,39.97241098,62.97605411,14,Female,40,Unmarried
177,164,41.65432227,13,53.67594909,62.97605411,35,Male,57,Married
178,199,35.40646518,3,53.67594909,62.97605411,6,Male,32,Married
179,115,51.02610792,19,51.96300683,62.97605411,2,Male,35,Unmarried
180,198,35.40646518,4,36.54652646,64.50068483,29,Male,51,Married
181,172,38.53039373,4,41.68535325,64.50068483,20,Male,59,Unmarried
182,166,40.092358,3,57.10183362,64.50068483,9,Male,30,Unmarried
183,147,49.46414364,7,55.38889135,64.50068483,6,Male,31,Married
184,112,49.46414364,14,55.38889135,64.50068483,10,Male,41,Married
185,186,43.21628655,3,38.25946872,64.50068483,11,Male,42,Unmarried
186,153,41.65432227,6,43.39829551,66.02531554,30,Male,60,Married
187,192,36.96842945,3,43.39829551,66.02531554,3,Male,34,Married
188,165,40.092358,3,51.96300683,66.02531554,3,Male,25,Married
189,156,43.21628655,3,57.10183362,66.02531554,1,Male,24,Unmarried
190,167,40.092358,17,45.11123777,66.02531554,5,Male,46,Unmarried
191,162,40.092358,3,50.25006456,66.02531554,12,Male,44,Married
192,206,30.72057236,6,38.25946872,66.02531554,14,Male,57,Unmarried
193,194,36.96842945,3,38.25946872,66.02531554,1,Male,23,Unmarried
194,200,35.40646518,6,39.97241098,67.54994626,8,Female,29,Married
195,198,30.72057236,3,39.97241098,67.54994626,4,Male,27,Married
196,208,32.28253663,3,41.68535325,67.54994626,3,Male,30,Married
197,121,43.21628655,12,58.81477588,67.54994626,15,Female,37,Married
198,207,33.8445009,3,46.82418004,67.54994626,38,Male,61,Married
199,152,49.46414364,3,60.52771814,67.54994626,8,Male,30,Unmarried
200,131,41.65432227,19,41.68535325,67.54994626,20,Male,48,Married
